purchasing,purchased,total
C33,C26,6761.17
D35,C26,2760.62
E36,C26,200.91
E37-E39,C26,565.56
F,C26,10625.28
G45,C26,1092.86
G46,C26,6031.70
G47,C26,1874.39
H49,C26,876.15
H50,C26,118.03
H51,C26,168.95
H52,C26,684.26
H53,C26,383.1
I,C26,816.42
J58,C26,712.44
J59_J60,C26,931.96
J61,C26,16634.19
J62_J63,C26,6873.96
K64,C26,858.53
K65,C26,260.01
K66,C26,223.73
L68B,C26,1055.12
L68A,C26,183.59
M69_M70,C26,2075.32
M71,C26,2505.57
M72,C26,3183.18
M73,C26,584.1
M74_M75,C26,1347.50
N77,C26,1899.63
N78,C26,259.8
N79,C26,85.37
N80-N82,C26,1792.07
O84,C26,10560.76
P85,C26,1813.22
Q86,C26,9560.09
Q87_Q88,C26,967.25
R90-R92,C26,768.92
R93,C26,389.01
S94,C26,309
S95,C26,1351.38
S96,C26,160.05
T,C26,10.01
U,C26,0
P3,C26,69010.91
P51,C26,90445.76
A01,C27,340.81
A02,C27,26.04
A03,C27,37.82
B,C27,377.26
C10-C12,C27,809.01
C13-C15,C27,181.03
C16,C27,208.18
C17,C27,308.39
C18,C27,132.02
C19,C27,399.23
C20,C27,927.21
C21,C27,141.09
C22,C27,1006.99
C23,C27,670.41
C24,C27,1642.18
C25,C27,3943.54
C26,C27,8307.94
C27,C27,34500.62
C28,C27,12730.39
C29,C27,13372.05
C30,C27,2797.32
C31_C32,C27,1446.33
C33,C27,6661.36
D35,C27,8946.88
E36,C27,334.2
E37-E39,C27,485.47
F,C27,30899.71
G45,C27,1748.86
G46,C27,3799.86
G47,C27,1489.76
H49,C27,1440.81
H50,C27,61.5
H51,C27,89.21
H52,C27,772.17
H53,C27,196.95
I,C27,1253.64
J58,C27,259.34
J59_J60,C27,209.47
J61,C27,3311.84
J62_J63,C27,1551.09
K64,C27,124.22
K65,C27,58.02
K66,C27,59.75
L68B,C27,1206.29
L68A,C27,324.93
M69_M70,C27,962.01
M71,C27,1159.07
M72,C27,1202.07
M73,C27,263.98
M74_M75,C27,388.74
N77,C27,1411.38
N78,C27,123.63
N79,C27,67.56
N80-N82,C27,1215.26
O84,C27,1149
P85,C27,401.86
Q86,C27,357.49
Q87_Q88,C27,208.33
R90-R92,C27,193.59
R93,C27,211.6
S94,C27,90.21
S95,C27,553.06
S96,C27,293.18
T,C27,7.27
U,C27,0
P3,C27,38999.57
P51,C27,33924.82
A01,C28,3156.18
A02,C28,326.14
A03,C28,76.29
B,C28,1714.70
C10-C12,C28,3713.98
C13-C15,C28,692.59
C16,C28,631.91
C17,C28,1160.93
C18,C28,618.62
C19,C28,1047.53
C20,C28,2072.60
C21,C28,428.17
C22,C28,1811.30
C23,C28,1743.27
C24,C28,3032.54
C25,C28,7758.02
C26,C28,3339.84
C27,C28,5296.84
C28,C28,61746.44
C29,C28,27356.51
C30,C28,5644.92
C31_C32,C28,1261.51
C33,C28,10728.43
D35,C28,3628.10
E36,C28,1203.95
E37-E39,C28,2002.49
F,C28,17054.17
G45,C28,4237.20
G46,C28,4711.88
G47,C28,1511.67
H49,C28,1655.85
H50,C28,292.97
H51,C28,217.67
H52,C28,841.15
H53,C28,147.44
I,C28,1341.63
J58,C28,428.04
J59_J60,C28,162.94
J61,C28,817.66
J62_J63,C28,903.35
K64,C28,221.04
K65,C28,68.79
K66,C28,62.22
L68B,C28,1013.10
L68A,C28,155.36
M69_M70,C28,678.46
M71,C28,1431.14
M72,C28,1146.49
M73,C28,328.14
M74_M75,C28,435.06
N77,C28,1934.20
N78,C28,124.95
N79,C28,128.13
